Temperature (deg F),Relative Humidity (%),"Total Snow Depth ("")","Intermittent/Shot Snow ("")",,
59.58,51.17,14.68,-7999,0,0
61.04,48.84,15.79,-7999,0,0
62.38,49.93,15.12,-7999,0,0
63.73,48.16,16.26,-7999,0,0
66.03,46.78,15.99,-7999,0,0
68.46,38.47,15.76,-7999,0,0
69.67,35.33,16.06,-7999,0,0
71.13,33.35,15.27,-7999,0,0
73.18,30.89,16.39,-7999,0,0
72.94,31.24,16.26,-7999,0,0
71.36,33.96,16.23,-7999,0,0
70.03,37.71,17.13,-7999,0,0
65.99,44.32,16.86,-7999,0,0
65.54,43.99,16.66,-7999,0,0
63.75,48.65,16.42,-7999,0,0
60.73,53.17,17.8,-7999,0,0
55.46,68.3,18.6,-7999,0,0
53.76,69.2,19.64,-7999,0,0
51.07,71.46,18.13,-7999,0,0
48.5,81.6,19.07,-7999,0,0
47.88,93.2,21.76,-7999,0,0
47.76,96.4,18.27,-7999,0,0
47.27,96.6,19.88,-7999,0,0
47.51,97.2,19.34,-7999,0,0
47.15,96.4,19.07,-7999,0,0
47.51,94.3,18.74,-7999,0,0
48.97,90.6,19.11,-7999,0,0
50.67,82.8,18.07,-7999,0,0
53.13,74.71,19.54,-7999,0,0
53.86,73.41,19.56,-7999,0,0
54.45,72.57,19.47,-7999,0,0
53.59,74.34,20.01,-7999,0,0
55.3,68.55,19.49,-7999,0,0
55.27,67.51,18.87,-7999,0,0
59.9,56.66,19.34,-7999,0,0
62.1,48.62,18.8,-7999,0,0
58.71,51.77,19.14,-7999,0,0
57.39,50.63,21.62,-7999,0,0
54.72,56.51,21.42,-7999,0,0
51.54,60.06,23.15,-7999,0,0
49.85,65.26,21.62,-7999,0,0
48.74,69.76,22.49,-7999,0,0
46.07,66.03,24.24,-7999,0,0
45.7,64.67,22.23,-7999,0,0
45.21,60.23,22.9,-7999,0,0
45.58,58.39,23.3,-7999,0,0
45.7,60.78,23.7,-7999,0,0
45.21,66.64,22.29,-7999,0,0
45.7,68.01,23.23,-7999,0,0
45.69,68.14,23.99,-7999,0,0
45.8,65.87,22.7,-7999,0,0
47.13,67.16,22.73,-7999,0,0
50.18,63.12,22.76,-7999,0,0
52.97,56.15,22.29,-7999,0,0
55.41,48.99,22.86,-7999,0,0
58.83,41.83,22.49,-7999,0,0
58.46,45.03,21.69,-7999,0,0
60.53,32.28,22.79,-7999,0,0
59.32,38.28,22.9,-7999,0,0
55.52,44.55,24.1,-7999,0,0
53.34,46.13,24.23,-7999,0,0
53.13,41.99,24.77,-7999,0,0
50.71,46.57,25.25,-7999,0,0
48.04,50.55,24.78,-7999,0,0
44.5,69.6,26.19,-7999,0,0
39.86,83.8,26.26,-7999,0,0
36.91,80.3,25.59,-7999,0,0
36.05,91.3,25.66,-7999,0,0
35.81,97.1,25.45,-7999,0,0
35.81,99.9,25.06,-7999,0,0
36.28,99.9,25.23,-7999,0,0
37.27,100,24.75,-7999,0,0
37.26,98.3,25.12,-7999,0,0
38.36,99.8,25.65,-7999,0,0
39.22,95.7,25.65,-7999,0,0
38.85,93.5,25.66,-7999,0,0
40.18,93.3,25.31,-7999,0,0
40.18,94.4,25.31,-7999,0,0
42.02,92,24.38,-7999,0,0
41.16,93.8,25.11,-7999,0,0
41.9,93.7,24.91,-7999,0,0
40.55,97.7,24.78,-7999,0,0
40.55,94.7,25.18,-7999,0,0
40.67,94.1,25.45,-7999,0,0
38.83,93.9,26.11,-7999,0,0
38.24,100,25.79,-7999,0,0
37.5,97.8,26.19,-7999,0,0
36.4,100,24.16,-7999,0,0
35.19,99.9,24.85,-425.3,0.889600169,1
34.46,99.9,25.19,-7999,0,0
33.6,99.9,25.59,-7999,0,0
33.23,100,26.26,-7999,0,0
32.86,99.9,25.86,-7999,0,0
33.23,99.8,25.86,-7999,0,0
32.98,99.9,25.99,-7999,0,0
33.23,100,25.86,-7999,0,0
33.23,99.9,25.99,-7999,0,0
33.23,99.9,26.19,-7999,0,0
33.11,99.9,26.26,-7999,0,0
33.23,100,26.39,-7999,0,0
33.84,99.9,25.47,-7999,0,0
34.81,99.8,25.91,-7999,0,0
35.54,99.8,27.26,-7999,0,0
36.4,99.8,27.13,-7999,0,0
37.87,96.2,26.2,-7999,0,0
36.86,99.9,26.79,-7999,0,0
37.6,93.1,26.19,-7999,0,0
39.56,93.1,26.86,-7999,0,0
39.1,99.9,26.06,-7999,0,0
34.44,96.8,27.71,-7999,0,0
33.72,99.9,26.06,-7999,0,0
32,99.9,25.45,-7999,0,0
32.37,99.9,24.78,-7999,0,0
31.75,99.9,25.32,-7999,0,0
31.63,99.9,25.51,-7999,0,0
31.88,100,26.12,-7999,0,0
31.75,100,25.86,-7999,0,0
31.75,99.9,25.99,-7999,0,0
31.88,99.8,26.13,-7999,0,0
32,99.8,25.99,-7999,0,0
32.12,99.9,26.19,-7999,0,0
32.12,99.9,25.72,-7999,0,0
32.25,99.8,25.45,-7999,0,0
31.75,99.8,25.79,-7999,0,0
33.47,97.3,26.13,-7999,0,0
33.08,95.9,25.59,-7999,0,0
36.49,87.9,26.79,-7999,0,0
40.79,63.64,25.99,-7999,0,0
40.64,66.55,26.52,-7999,0,0
43.46,59.87,26.72,-7999,0,0
42.88,65.48,25.05,-7999,0,0
38.21,81,24.91,-7999,0,0
37.26,87.1,26.73,-7999,0,0
35.41,85.5,27.8,-7999,0,0
34.81,96,27.37,-7999,0,0
34.95,95.7,27.33,-7999,0,0
33.6,99.9,27.47,-7999,0,0
33.11,99.9,27.47,-7999,0,0
32.37,99.9,27.27,-7999,0,0
32.86,99.9,27.47,-7999,0,0
34.09,100,27.33,-7999,0,0
34.94,99.9,27.35,-7999,0,0
35.91,99.8,28.34,-7999,0,0
36.64,99.8,29.01,-7999,0,0
37.75,99.9,27.26,-7999,0,0
38.24,99.8,26.19,-7999,0,0
38.97,100,27.21,-7999,0,0
39.56,97.2,27.46,-7999,0,0
40.79,95.6,27.06,-7999,0,0
41.87,90.9,27.39,-7999,0,0
46.53,64.51,27.12,-7999,0,0
45.06,81.1,27.93,-7999,0,0
46.63,76.41,27.72,-7999,0,0
47.61,71.57,27.32,-7999,0,0
50.05,69.04,26.81,-7999,0,0
53.6,64.95,26.68,-7999,0,0
50.8,72.67,27.32,-7999,0,0
47.15,81.8,28.47,-7999,0,0
46.4,77.79,28.63,-7999,0,0
48.5,70.1,27.53,-7999,0,0
46.32,71.28,28.81,-7999,0,0
42.76,75.85,28.67,-7999,0,0
41.91,72.11,30.11,-7999,0,0
40.19,68.91,30.51,-7999,0,0
41.29,66.24,29.19,-7999,0,0
41.77,67.19,30.55,-7999,0,0
42.39,61.05,29.61,-7999,0,0
42.63,53,30.68,-7999,0,0
41.9,59.41,30.48,-7999,0,0
42.51,66.85,30.01,-7999,0,0
43.37,65.35,29.74,-7999,0,0
44.81,62.26,29.81,-7999,0,0
48.71,55.9,29.6,-7999,0,0
52.02,48.53,29.35,-7999,0,0
55.3,42.93,29.4,-7999,0,0
56.04,38.71,27.72,-7999,0,0
56.25,41.21,29.73,-7999,0,0
57.48,42.3,29.46,-7999,0,0
55.4,43.6,29.6,-7999,0,0
53.94,47.56,29.76,-7999,0,0
51.28,55.28,30.15,-7999,0,0
48.85,59.18,30.11,-7999,0,0
45.95,67.05,30.55,-7999,0,0
42.76,76.61,30.81,-7999,0,0
41.06,84.8,31.63,-7999,0,0
39.71,90.6,31.76,-7999,0,0
38.5,94.4,31.13,-7999,0,0
37.27,93.2,31.93,-7999,0,0
37.64,94.9,31.66,-7999,0,0
37.39,96.8,31.53,-7999,0,0
37.51,96,31.4,-7999,0,0
37.87,95.1,31.29,-7999,0,0
38.49,93.2,31.83,-7999,0,0
38.36,89.4,31.36,-7999,0,0
39.57,84.9,31.6,-7999,0,0
41.28,79.26,31.89,-7999,0,0
44.45,66.14,32.09,-7999,0,0
47.38,57.88,31.98,-7999,0,0
49.82,52.69,32.02,-7999,0,0
52.14,52.14,30.9,-7999,0,0
51.5,53.15,31.41,-7999,0,0
51.62,53.35,31.36,-7999,0,0
51.75,56.22,31.41,-7999,0,0
50.4,59.63,32.08,-7999,0,0
50.18,61.21,31.88,-7999,0,0
46.53,67.92,29.94,-7999,0,0
44.11,70.87,33.1,-7999,0,0
42.03,75.32,32.67,-7999,0,0
38.85,88.5,32.77,-7999,0,0
38.61,90.2,31.96,-7999,0,0
37.99,90.2,33.17,-7999,0,0
38.73,87.3,33.18,-7999,0,0
39.32,90.8,32.76,-7999,0,0
40.42,97.3,32.7,-7999,0,0
44.08,97.5,32.76,-7999,0,0
46.53,94.2,33.03,-7999,0,0
47.27,91.6,32.89,-7999,0,0
47.88,88.4,33.16,-7999,0,0
48.11,90.9,33.06,-7999,0,0
49.08,88.2,33.09,-7999,0,0
51.89,81.9,33.25,-7999,0,0
54.93,75.5,33.43,-7999,0,0
58.09,67.64,33.48,-7999,0,0
61.14,51.69,33.51,-7999,0,0
62.72,52.5,33.55,-7999,0,0
63.91,49.76,32.27,-7999,0,0
63.91,47.17,32.53,-7999,0,0
63.21,48.48,32.2,-7999,0,0
59.81,53.34,33.08,-7999,0,0
58.97,57.71,33.04,-7999,0,0
56.44,65.1,34.57,-7999,0,0
52.55,73.17,35.51,-7999,0,0
50.46,78.62,35.84,-7999,0,0
46.56,94.5,35.92,-7999,0,0
46.07,94.4,36.19,-7999,0,0
44.11,95.9,36.46,-7999,0,0
44.97,99.9,36.32,-7999,0,0
45.82,99.9,36.19,-7999,0,0
46.29,99.9,36.17,-7999,0,0
46.78,99.9,36.65,-7999,0,0
47.02,99.9,36.38,-7999,0,0
47.64,97,36.32,-7999,0,0
48.36,96.8,36.27,-7999,0,0
50.06,89.3,36.44,-7999,0,0
53.59,77.07,36.37,-7999,0,0
56.76,66.91,36.4,-7999,0,0
59.56,62.67,36.5,-7999,0,0
61.14,60.34,35.52,-7999,0,0
62.96,51.41,35.83,-7999,0,0
64.28,50.78,35.95,-7999,0,0
64.89,44.32,35.62,-7999,0,0
63.33,45.49,35.55,-7999,0,0
61.02,46.25,36.99,-7999,0,0
59.93,42.1,38.17,-7999,0,0
58.03,44.65,37.26,-7999,0,0
54.97,46.83,38.66,-7999,0,0
52.79,45.69,39.87,-7999,0,0
49.85,57.01,39.2,-7999,0,0
47.91,65.07,39.56,-7999,0,0
46.66,72.69,39.74,-7999,0,0
48.5,86.5,39.6,-7999,0,0
49.36,83.1,39.67,-7999,0,0
49.48,85.4,37.86,-7999,0,0
49.36,84.4,39.6,-7999,0,0
48.99,83,39.07,-7999,0,0
49.23,83.2,39.34,-7999,0,0
50.18,85.1,39.4,-7999,0,0
52.02,75.46,39.14,-7999,0,0
56.41,71.35,39.46,-7999,0,0
58.34,67.65,38.84,-7999,0,0
61.16,59.6,38.31,-7999,0,0
63.45,56.52,39.44,-7999,0,0
66.6,54.73,38.7,-7999,0,0
67.46,53.17,39.23,-7999,0,0
67.22,54.25,38.97,-7999,0,0
66.36,53.3,38.97,-7999,0,0
63.46,67.49,40.1,-7999,0,0
63.01,69.15,41.04,-7999,0,0
58.15,79.82,42.09,-7999,0,0
52.02,99.9,41.34,-7999,0,0
50.67,100,42.48,-7999,0,0
49.71,99.9,42.45,-7999,0,0
48.85,99.9,42.44,-7999,0,0
49.11,99.9,41.89,-7999,0,0
49.34,99.8,42.45,-7999,0,0
50.08,100,42.59,-7999,0,0
50.69,99.8,40.3,-7999,0,0
50.94,99.8,42.92,-7999,0,0
50.2,100,42.72,-7999,0,0
49.95,99.8,43.79,-7999,0,0
50.55,96.4,43.82,-7999,0,0
52.01,91.8,43.57,-7999,0,0
56.29,82,43.61,-7999,0,0
58.71,76.57,43.81,-7999,0,0
60.9,69.74,43.43,-7999,0,0
63.17,47.79,42.45,-7999,0,0
67.71,47.86,43.65,-7999,0,0
65.87,50.78,43.25,-7999,0,0
65.89,54.13,42.42,-7999,0,0
60.76,71.57,43.18,-7999,0,0
58.83,78.2,44.21,-7999,0,0
54.45,85,45.34,-7999,0,0
50.31,95.2,43.95,-7999,0,0
47.27,99.9,45.11,-7999,0,0
46.41,99.9,46.18,-7999,0,0
44.72,99.9,44.98,-7999,0,0
44.6,99.9,46.46,-7999,0,0
43.74,99.9,46.66,-7999,0,0
44.72,99.8,46.73,-7999,0,0
44.71,99.9,44.79,-7999,0,0
45.56,100,46.7,-7999,0,0
45.55,99.9,46.72,-7999,0,0
46.41,99.8,46.85,-7999,0,0
46.78,100,46.85,-7999,0,0
46.78,99.9,46.85,-7999,0,0
46.78,99.9,46.25,-7999,0,0
48.6,95.5,46.08,-7999,0,0
50.55,93.5,46.37,-7999,0,0
51.16,93.7,46.32,-7999,0,0
52.84,85.2,46.18,-7999,0,0
56.39,75.01,45.65,-7999,0,0
58.08,68.31,46.78,-7999,0,0
58.22,68.32,45.28,-7999,0,0
54.2,77.21,46.43,-7999,0,0
50.31,86.4,47.98,-7999,0,0
47.51,93.6,46.92,-7999,0,0
45.55,99.8,48.6,-7999,0,0
44.6,99.9,48.94,-7999,0,0
43.37,99.8,49.01,-7999,0,0
42.88,99.8,49.34,-7999,0,0
42.76,99.9,49.08,-7999,0,0
42.26,99.8,48.94,-7999,0,0
42.39,99.8,49.61,-7999,0,0
42.63,99.9,48.81,-7999,0,0
43.12,99.9,48.74,-7999,0,0
43.12,99.9,47.6,-7999,0,0
43.37,99.9,47.93,-7999,0,0
44.69,95.2,48.26,-7999,0,0
45.92,90.6,48.93,-7999,0,0
47.01,87.7,49.16,-7999,0,0
49.08,83.1,47.85,-7999,0,0
51.87,75.09,48.84,-7999,0,0
55.92,69.85,49.38,-7999,0,0
54.05,70.91,48.5,-7999,0,0
58.82,61.51,48.78,-7999,0,0
59.42,59.66,49.07,-7999,0,0
58.56,62.11,48.39,-7999,0,0
58.09,60.69,49.3,-7999,0,0
56.15,63.09,50.08,-7999,0,0
55.06,65.42,50.24,-7999,0,0
53.28,68.6,49.67,-7999,0,0
47.15,84.6,50.74,-7999,0,0
48.28,85.4,50.15,-7999,0,0
45.09,95.3,50.89,-7999,0,0
44.23,96.6,52.03,-7999,0,0
43.62,95.3,51.63,-7999,0,0
43.98,93,51.36,-7999,0,0
44.23,94.7,51.76,-7999,0,0
44.6,96.4,51.69,-7999,0,0
44.97,92.6,51.22,-7999,0,0
45.55,88.8,51.61,-7999,0,0
46.78,85.2,51.68,-7999,0,0
